model,feature_set,split,params,MAE,RMSE,training_time_seconds
MLPRegressor,F0,validation,"{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.01, 'max_iter': 500, 'early_stopping': True, 'random_state': 42}",100.0267932123569,131.8119284094394,3.529179667122662
GradientBoostingRegressor,F0,validation,"{'n_estimators': 300, 'learning_rate': 0.03, 'max_depth': 2, 'random_state': 42}",103.15533825006226,134.87493510485245,1.5863239171449095
MLPRegressor,F0,validation,"{'hidden_layer_sizes': (128,), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.001, 'max_iter': 500, 'early_stopping': True, 'random_state': 42}",103.63000569746727,140.9163624471673,6.677295750007033
MLPRegressor,F0,validation,"{'hidden_layer_sizes': (128,), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 500, 'early_stopping': True, 'random_state': 42}",104.51384996571863,142.82258060895705,6.674814959056675
MLPRegressor,F0,validation,"{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.001, 'max_iter': 500, 'early_stopping': True, 'random_state': 42}",111.74438297556769,156.70815975048976,3.47264316608198
MLPRegressor,F0,validation,"{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 500, 'early_stopping': True, 'random_state': 42}",112.00171051519386,156.35239274749435,3.546525042038411
Ridge,F1,validation,{'alpha': 50.0},137.28380494203233,173.92411245906487,0.0013523329980671406
Ridge,F1,validation,{'alpha': 25.0},137.43090481543356,173.96962012332787,0.002461042022332549
Ridge,F1,validation,{'alpha': 10.0},137.5074319233082,174.02363331222938,0.0014197919517755508
Ridge,F1,validation,{'alpha': 5.0},137.52543270915754,174.05231882801652,0.004029833013191819
Ridge,F1,validation,{'alpha': 1.0},137.53867342362395,174.09953616037527,0.001398958032950759
Ridge,F1,validation,{'alpha': 0.1},137.54857205157225,174.1277138442135,0.0016674580983817577
Ridge,F0,validation,{'alpha': 50.0},154.4849060903806,189.83030449773793,0.010491250082850456
Ridge,F0,validation,{'alpha': 25.0},154.98592023251123,189.71532035482738,0.010595875093713403
Ridge,F0,validation,{'alpha': 10.0},155.27744620117932,189.6714676800913,0.00212191604077816
Ridge,F0,validation,{'alpha': 0.1},155.29870824456555,189.76421474127326,0.0019608328584581614
Ridge,F0,validation,{'alpha': 1.0},155.3297660729175,189.71694819401657,0.0012322920374572277
Ridge,F0,validation,{'alpha': 5.0},155.34487165670305,189.67073369914834,0.009688874939456582
